NumTrainVideos,KnowledgeGraphID,LabelName,FirstVertical,SecondVertical,ThirdVertical
539926,/m/07yv9,Vehicle,/Autos & Vehicles,,
386872,/m/01jddz,Concert,/Arts & Entertainment,,
290812,/m/0hcr,Animation,/Arts & Entertainment,,
266829,/m/0mdxd,Music video,/Arts & Entertainment,,
252639,/m/01mw1,Video game,/Games,,
221721,/m/02vx4,Football,/Sports,,
215675,/m/026bk,Dance,/Arts & Entertainment,,
188044,/m/02wbm,Food,/Food & Drink,,
173192,/m/0410tth,Motorsport,/Sports,,
164711,/m/0jbk,Animal,/Pets & Animals,,
150413,/m/0k4j,Car,/Autos & Vehicles,,
105288,/m/0342h,Guitar,/Arts & Entertainment,,
100370,/m/02dsz,Disc jockey,/Arts & Entertainment,,
91808,/m/03hdbf,Trailer,/Arts & Entertainment,,
88723,/m/032tl,Fashion,/Beauty & Fitness,,
84422,/m/050k8,Mobile phone,/Internet & Telecom,,
79834,/m/09v6kpg,Minecraft,/Games,,
77649,/m/02ntfj,Action-adventure game,/Games,,
77433,/m/0169zh,Smartphone,/Internet & Telecom,,
68256,/m/094jc,Fishing,/Hobbies & Leisure,,
63628,/m/01chg,Bollywood,/Arts & Entertainment,,
60417,/m/01mtb,Cooking,/Food & Drink,,
60355,/m/05229,Musical ensemble,/Arts & Entertainment,,
60164,/m/05pd6,Orchestra,/Arts & Entertainment,,
55405,/m/04_sv,Motorcycle,/Autos & Vehicles,,
52870,/m/0l14jd,Choir,/Arts & Entertainment,,
52673,/m/0643t,Personal computer,/Computers & Electronics,,
52188,/m/07_tb,Video game console,/Computers & Electronics,,
51919,/m/03ykjs9,Comedy,/Arts & Entertainment,,
50206,/m/05r5c,Piano,/Arts & Entertainment,,
50121,/m/09qf5,Winter sport,/Sports,,
49736,/m/018w8,Basketball,/Sports,,
48777,/m/0138tl,Toy,/Shopping,,
48432,/m/0215n,Cartoon,/Arts & Entertainment,,
47879,/m/03hf_rm,Strategy video game,/Games,,
47759,/m/04c20y,Highlight film,,,
43732,/m/036vg6,Wrestling,/Sports,,
42490,/m/012h24,Comics,/Arts & Entertainment,,
42023,/m/05h0n,Nature,/Science,,
41181,/m/0jm_,American football,/Sports,,
40472,/m/02lx2r,Album,/Arts & Entertainment,,
39886,/m/07jdr,Train,/Business & Industrial,/Travel,
39310,/m/01sgl,Cycling,/Sports,,
38606,/m/03q69,Hair,/Beauty & Fitness,/Science,
38442,/m/014trl,Cosmetics,/Beauty & Fitness,,
37704,/m/03bt1gh,Games,,,
